pincode,centroid_x,centroid_y,lat_0_5,lon_0_5,lat_0_25,lon_0_25,lat_0_1,lon_0_1,stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,geometry
712612,87.62991401,22.88635031,23,87.5,23,87.75,22.9,87.6,19,338,02339,WEST BENGAL,Hooghly,Goghat - II,2339,312,19,POINT (87.6299140102604 22.88635031178664)
712613,87.80425637,22.79659816,23,88,22.75,87.75,22.8,87.8,19,338,02340,WEST BENGAL,Hooghly,Arambag,2340,312,19,POINT (87.80425636770195 22.796598163510108)
712614,87.69403607,22.87910337,23,87.5,23,87.75,22.9,87.7,19,338,02338,WEST BENGAL,Hooghly,Goghat - I,2338,312,19,POINT (87.69403607167813 22.879103369282102)
712615,87.85592635,22.91368674,23,88,23,87.75,22.9,87.9,19,338,02340,WEST BENGAL,Hooghly,Arambag,2340,312,19,POINT (87.85592634801752 22.91368674116848)
712616,87.74033926,22.83037982,23,87.5,22.75,87.75,22.8,87.7,19,338,02338,WEST BENGAL,Hooghly,Goghat - I,2338,312,19,POINT (87.74033926357254 22.830379817131256)
712617,87.76606342,22.76586842,23,88,22.75,87.75,22.8,87.8,19,338,02354,WEST BENGAL,Hooghly,Khanakul - I,2354,312,19,POINT (87.76606341679461 22.765868419523)
712701,88.18447963,22.712564,22.5,88,22.75,88.25,22.7,88.2,19,338,02351,WEST BENGAL,Hooghly,Chanditala - I,2351,312,19,POINT (88.18447962588407 22.712563998624297)
712702,88.23481844,22.69687857,22.5,88,22.75,88.25,22.7,88.2,19,338,02352,WEST BENGAL,Hooghly,Chanditala - II,2352,312,19,POINT (88.23481844127558 22.696878569361047)
712706,88.15234747,22.76610237,23,88,22.75,88.25,22.8,88.2,19,338,02351,WEST BENGAL,Hooghly,Chanditala - I,2351,312,19,POINT (88.15234746830139 22.766102368492888)
713101,87.86142805,23.23749679,23,88,23.25,87.75,23.2,87.9,19,335,02289,WEST BENGAL,Purba Bardhaman,Burdwan - I,2289,306,19,POINT (87.86142804961243 23.2374967881389)
713102,87.8253368,23.23270829,23,88,23.25,87.75,23.2,87.8,19,335,02289,WEST BENGAL,Purba Bardhaman,Burdwan - I,2289,306,19,POINT (87.82533679815688 23.232708289612905)
713103,87.86938814,23.19690358,23,88,23.25,87.75,23.2,87.9,19,335,02296,WEST BENGAL,Purba Bardhaman,Raina - I,2296,306,19,POINT (87.86938814407603 23.19690358264175)
713104,87.82628622,23.27420408,23.5,88,23.25,87.75,23.3,87.8,19,335,02289,WEST BENGAL,Purba Bardhaman,Burdwan - I,2289,306,19,POINT (87.82628621719928 23.27420407871489)
713121,87.8693735,23.46143,23.5,88,23.5,87.75,23.5,87.9,19,335,02286,WEST BENGAL,Purba Bardhaman,Bhatar,2286,306,19,POINT (87.86937349910004 23.46143000288389)
713122,88.29187498,23.18406678,23,88.5,23.25,88.25,23.2,88.3,19,335,02294,WEST BENGAL,Purba Bardhaman,Kalna - II,2294,306,19,POINT (88.29187497767117 23.184066781915476)
713123,88.11496014,23.73163985,23.5,88,23.75,88,23.7,88.1,19,335,02280,WEST BENGAL,Purba Bardhaman,Ketugram - II,2280,306,19,POINT (88.11496014434496 23.731639853789943)
713124,87.96085197,23.13517456,23,88,23.25,88,23.1,88,19,335,02296,WEST BENGAL,Purba Bardhaman,Raina - I,2296,306,19,POINT (87.96085197239411 23.135174561800753)
713125,87.9517471,23.37101495,23.5,88,23.25,88,23.4,88,19,335,02286,WEST BENGAL,Purba Bardhaman,Bhatar,2286,306,19,POINT (87.95174709527558 23.371014948303586)
713126,87.68859536,23.56838701,23.5,87.5,23.5,87.75,23.6,87.7,19,335,02277,WEST BENGAL,Purba Bardhaman,Ausgram - I,2277,306,19,POINT (87.68859535871744 23.56838701010894)
713127,87.81804472,23.39099698,23.5,88,23.5,87.75,23.4,87.8,19,335,02286,WEST BENGAL,Purba Bardhaman,Bhatar,2286,306,19,POINT (87.81804472436673 23.390996976153026)
713128,87.73962209,23.46925946,23.5,87.5,23.5,87.75,23.5,87.7,19,335,02277,WEST BENGAL,Purba Bardhaman,Ausgram - I,2277,306,19,POINT (87.7396220923788 23.46925946098116)
713129,87.98015559,23.75199955,24,88,23.75,88,23.8,88,19,335,02279,WEST BENGAL,Purba Bardhaman,Ketugram - I,2279,306,19,POINT (87.98015559159194 23.751999550555965)
